اَنوشا	جاویدانبرگشتبهلیست
خزال	بانازراهرونده،کسیکهبانازراهمی‌رود.
خزان	نامسومینفصلسال،پسازتابستانوپیشاززمستان،پاییز
خزان	نامسومینفصلسال،پسازتابستانوپیشاززمستان،پاییز
خزر	فتان–دخترکهعشوههاییزیرکانهمیریزد
خضرا	سبز،تازه
خلیله	مؤنثخلیل
خندان	خندیدن،بالبخند
خندانچهر	آنکهچهرهایخندانومتبسمدارد.
خندانگل	آنکهچونگلشادابوباطراوتاست.
خوبچهر	دارایسیمایزیبا،زیبا.
خوبرخ	ازنامهایبرگزیده
خوبروی	ازنامهایبرگزیده
خوبیار	یارخوب
خوردخت	ازنامهایبرگزیده
خوردیس	مانندخورشید،درخشان
خورزاد	ازنامهایبرگزیده
خورسان	مانندخورشید
خورشاد	ازنامهایبرگزیده
خورشید	هور،هورشید
خورشیدچهر	ازنامهایبرگزیده
خورشیددخت	مرکبازخورشید+دخت(دختر)
خورشیدرخ	آنکهچهره‌اشچونخورشیدمی‌درخشد.
خورشیدفر	آنکهشکوهوجلالیچونخورشیددارد.
خورشیدمهر	آنکهمهرومحبتیچونخورشیددارد.
خوروش	خورشیدوش،تابانودرخشانچونخورشید
خوشلقا	خوش(فارسی)+لقا(عربی)خوشصورت،زیبا
خوشاب	میوه‌ایکهبامحلولآبوشکرمی‌پزند،روشنوشفاف،آبداروتروتازه،جواهرتابانودرخشان
خوشبوی	ازنامهایبرگزیده
خوشچهر	نیکوروی
خوشخو	نیکرفتار،باصفا
خوشدل	شاد،شادمان،خوشنود،خوشحال
خوشروز	دارایزندگیراحتوبارفاه.
خوشروی	خوشرو،خوشصورت،خوشگل
خوشگو	خوشسخن
خوشنوا	خوشآواز،خوشآهنگ
خوشه	تعدادیدانه،میوهیاگلکهبهمحورمتصلباشند
خوشیار	دوستویارشادوشادمان
خوشین	خوشوزیبا
خیرالنسا	بهترینِزنان؛عنوانیبرایحضرتفاطمه(س)دخترپیامبراسلام(ص)
خیزران	نوعینیمغزدارباساقهایمحکموبلند؛ناممادراماممحمّدتقی(ع)

دَستنبو	میوهایخوشبوبرگشتبهلیست
دَریا	(درجغرافیا)تودهیبسیاربزرگیازآب،دریاچه،(بهمجاز)شخصبسیارآگاهودانشمند،
دُخمل	ازنامهایبرگزیده
دُرافشان	روشن،تابان،شیرینسخن
دُردانه	دانهدر،مرواریدبزرگ
دُرسا	دُر=مروارید،لؤلؤ+سا(پسوندشباهت)،شبیهبهدُر؛(بهمجاز)گرانقیمتوارزشمند.
دُرنا	پرندهیآبچرِبزرگ،وحشیوحلالگوشت،کُلنگ.
دُرنا	نامپرندهایاست
دُرین	دُر+ین(پسوندنسبت)،ازدُر،ساختهشدهازدُر؛(بهمجاز)گرانبهاوقیمتی
دُغدو	ناممادراشوزرتشت
دِرمنَه	گیاهیخوشبو
دِنا	قسمتیازکوهستانشمالغربیفارسکهقلهایمعروفبههمیننامدارد
دادآفرید	ازدادآفریدهشده،ازنامهایخداوند
دادلی	شیرینونمکین
دارانا	نامروستاییدرنزدیکیاهر
دارینا	زرگر،طلاساز،مجازاارزشمندوگرانبها
دارینه	نامروستاییدرنزدیکیسقز
دالیا	نوعیازگلِکوکب
دامینه	زیبا،جاریوروان،همچنینبهمعنایدانشودانایینیزآمدهاست.
دایانا	(دایا(زرسرخوطلا)+پسونداسمسازِ(نا))بهمعنیمثلزرسرخو(بهمجاز)زیباروی
دراج	نامپرنده‌ایاست
درافشان	آنکهمرواریدمیافشاند؛(بهمجاز)بخشنده؛دارایفصاحتوزیبایی،بارانریز.
دربها	بانویارزشمند،دختریکهمانندمرواریدارزشمنداست،نامهمسرکورشکبیر
درتا	مانندمروارید،همتایدُر
درخشا	نورانی،تابنده،درخشان
درخشان	دارایدرخشش،روشنوتابان،درخشنده،(بهمجاز)جالبتوجهوچشمگیروخوبوموفقیتآمیز.
درخشنده	(صفتفاعلیازدرخشیدن)،دارایدرخششوتلألؤ؛روشنوتابان.
دردانه	بسیارمحبوبوگرامی،عزیزکرده،نازپرورده؛نیزفرزندبسیارگرامی.
درسا	دُر=مروارید،لؤلؤ+سا(پسوندشباهت)،شبیهبهدُر؛(بهمجاز)گرانقیمتوارزشمند.
درستی	پاکی،حقیقت،صحت،نامدخترانوشیروانپادشاهساسانی
درفام	ماننددردرآسادُرمانندبهرنگدُر
درفشان	درخشانوروشن
درمان	چاره
درناز	(دُر=مروارید،لؤلؤ+ناز=زیباوقشنگ)(بهمجاز)زیبارووگرانبها.
دریا	بحر
دریادخت	مرکبازدریا+دخت(دختر)
دریاناز	مرکبازدریاوناز،مایهنازومباهاتدریایابهمعنایدریایناز،
دلافروز	روشنکنندهدل
دلانگیز	نشاطآور
دلآرا	موجبآرامشوشادیدیگران؛محبوب،معشوق،
دلآرام	موجبآرامشوآسایشخاطر
دلآسا	موجبتسکینوآسایشدل
دلآشوب	ازنامهایبرگزیده
دلآویز	زیبا،دلنشین،محبوب
دلارام	موجبآرامشخاطر،محبوب،معشوق،باآسودگیخاطر.
دلاویز	دلپسند،مرغوب،دلخواه
دل‌آرا	موجبآرامشوشادیدیگران؛محبوب،معشوق،نامهمسردارا(داریوشسوم)
دلبر	یارومعشوق
دلپذیر	دلخواه,پسندیده
دلپسند	پسندیده،مرغوب
دلجو	نوازشکننده
دلخوش	خوشدل،خوشحال،شادمان
دلدار	دلبر,معشوق,دلیر,دلاور,شجاع
دلربای	زیبا،جذاب
دلشاد	خوشحال،شادمان
دلکش	دلربا,دلپذیر,دلفریب
دلگرم	خشنود،امیدوار
دلناز	موجبفخرومباهاتدل
دلنواز	مایهیآرامشدل،آرامشبخش؛نوازشگر،مهربانودلسوز،محبوبومعشوق.
دلوین	ربایندهدلوعشق
دمساز	همدم،همراز،همصحبت
دنبره	نوعیساز،تنبور
دنیز	اسمترکیبهمعنایدریا
دیبا	نوعیپارچهیابریشمیمعمولًارنگین.
دیبارخ	ازنامهایبرگزیده
دین	داور،داوری
دینا	داور،داوری؛(دراوستایی)دین؛(درعبری)(=دینه)انتقامیافته؛نامخواهریوسف(ع)
دیناز	خالقزیبایی
دینه	نامدختریعقوب(ع)وخواهریوسف(ع)
ذَلفا	دخترسفیدروی؛شاعرهمعاصرخلفایعباسی،دخترابیضزنومعشوقهینجدهیابناسود.

رَسابانو	بانویبرگزیدهوبلندبالابرگشتبهلیست
رَسادخت	دختربرگزیدهوبلندبالا
رَسپینا	فصلپاییز
رَستا	رَستن،رهیدن+ا(پسوند)،رستگارشده،رهایییافتهوخلاصشده
رُزا	گلرز
رُکسان	روشنک،رکسانا
رُکسانا	روشنک،نامدخترداراکهاسکندربهموجبوصیتدارااورابهازدواجخوددرآورد.
رُونیا	آنکهچهره‌اشمثلنیاکاناست
رُونیا	آنکهچهرهاشمثلنیاکاناست؛(بهمجاز)اصیل
رابو	نامگلیازگلهایبهاری
رابیا	مشهور،نامدار
راتا	نامفرشتهایاست
راحل	دخترمهاجر
راحیل	نامیکفرشته
رادا	راد+ا(پسوندنسبت)،منسوببهراد
راددخت	دختربخشندهیاخردمند
رادنوش	ازنامهایبرگزیده
راز	آنچهازدیگرانپنهاننگاهداشتهمیشود،سِر
رازان	نامروستاییدرنزدیکیخرمآباد
رازک	گیاهیعلفیازخانوادهشاهدانهکهمعطر،تلخ،وداروییاست
رازمهر	ازنامهایبرگزیده
رازیانه	گیاهیخوشبو
رافعه	اوجدهنده،رفیعکننده(باعثافتخار)
رافونه	پونه
رامافزا	افزونکنندهآرامش
رامافزون	رامافزا،افزونکنندهآرامش
رامبانو	بانویآرامیابانویشاد
رامدخت	ازنامهایبرگزیده
رامدخت	دخترآرام
رامش	شادی،خوشی،لذت،حظ،آسودگی،آسایش،سرود،نغمه
رامشین	نامروستاییدرنزدیکیسبزوار
رامک	آرامشدهنده
رامونا	مظهرعشق،لاتیننگهبانعاقل
رامی	منسوببهرام
رامینا	رامین+الف(نسبت)،منسوببهرامین؛دخترِطربناک
رامینه	رامین
راوش	مصحفزاوش،نامستارهمشتری
راویز	خارشتر
راویس	صاحبجاهوجلال
رایا	رای،فکر،اندیشه،تأمل
رایان	اسمکوهیدرحجاز
رایحه	عطرخوش(رایحهالجنت)،عطرحضرتزهرا
رایکا	پسندیدهودوستداشتنی
رایومند	دارندهفروغوشکوه
رخسار	روی،چهره،صورت،سیما
رخساره	چهره،صورت،گونه
رخشا	رخشان،درخشان
رخشان	درخشان
رخشانه	رخشانودرخشنده
رخشنده	درخشان،نورانی
ردیمه	نامزنکمبوجیهودخترهوتن
رزیتا	نامیفرانسویبهمعنیگلرزکوچک
رسا	بالغ،بلند
رسپینا	فصلپاییز
رستاک	شاخهتازهایکهازبیخدرختبرآید
روبیتا	بی‌نظیر
روجا	منسوببهروج(روز،آفتاب)؛(بهمجاز)زیبارویوآفتابچهره؛روجانامدهیدرتنکابن
رودابه	فرزندتابانومادررستمدستان
روژیا	روزوروشنایی
روژیار	روزگار
روژین	منسوببهروز،تابناکودرخشنده
روژینا	منسوببهروز
روشان	روشن
روشنک	دختردارا
روناک	روشن،تابناک
رونیکا	رویزیبا،زیباروی
رویا	خاطره‌هایشیرین
رها	نجاتیافته،آزاد
ریحانه	گیاهیخوشبویکهدرزمیننرمروید
ریرا	درگویشمازندرانیبهگوشباش،بههوشباش
ریواس	گیاهیباشاخه‌هایسپید

زُمرد	گوهر،ازسنگ‌هایقیمتیبرگشتبهلیست
زُبیده	نامگیاهی(همیشهبهار)؛دخترجعفرابنمنصورزنهارونالرشیدومادرخلیفهامین.
زُلفا	(زلف=مویبلندِسر،گیسو+الف(پسوندنسبت))،منسوببهزلف؛
زُلفا	منسوببهزلف؛نزدیکیومنزلتوقربَت.
زادک	نامروستاییدرنزدیکیقوچان
زادمهر	برآمدهازروشنایی
زاکیه	نیکو،پاکیزه
زامیر	آواز
زانوس	نامیکیازدوشعبهبزرگرودچالوس
زاهده	مؤنثزاهد
زرافشان	افشانندهسیموزر
زراندام	ازنامهایبرگزیده
زربانو	نامدختررستموخواهربانوگشتاسب
زربین	سروکوهی
زرپری	آنکهچونزروپریدرخشندهوزیباست
زرتا	همتایزر،درخشانوزیباچونطلا
زرتاج	زر(فارسی)+تاج(فارسی)زرینتاج
زرخاتون	زر(طلا)+خاتون(بانو)
زردخت	مرکباززر(طلا)+دخت(دختر)
زردیس	بهشكلزر
زرستان	نامدخترارجاسب
زرشام	نامدختریازخاندانجمشیدپادشاهکیانی
زرکا	بهزبانگیلکیبهمعنینوعیپرنده
زرگل	زرینگل
زرگیس	ازنامهایبرگزیده
زرگیسو	ازنامهایبرگزیده
زرمان	مانندزر،بسیارزیبا
زرناز	مرکباززر(طلا)+ناز(کرشمه)
زرنگار	ازنامهایبرگزیده
زرنگیس	زرینگیسزرینگیس
زرنوش	امشهریکهداراآنرابناکردهبود
زرواندخت	اززروان(نامایزدی)+دخت(دختر)
زری	منسوببهزر،زردار
زرین	ازجنسزر،بهرنگزر،طلایی
زرینبانو	ازنامهایبرگزیده
زرینتاج	زرین(فارسی)+تاج(معرب)آنکهتاجیازطلابرسردارد.
زرینچهر
زریندخت	مرکباززرین(طلایییاازجنسزر)+دخت(دختر)
زرینگل	آنکهچونگلیزرینزیباودرخشاناست
زرینگیس	آنکهموهاییبهرنگطلادارد،نامزنیدرمنظومهویسورامین
زرینمهر	خورشیدطلایی
زریننرگسه	ستاره‌هایآسمان
زریننگار	آراستهشدهبازر
زرینهمای	همایزرین،آفتاب
زرینهور	خورشیدطلایی
زرینه	ساختهشدهازطلا
زعفران	گیاهیعلفی،چندسالهوازخانوادهزنبقکهگلهایپاییزیسفیدیابنفشدارد.
زکیه	مؤنثزکی،پاک،طاهر،پارسا
زگما	نامپلیدرزمانسلوکیانکهسلوکیهرابهشهرآپاماوصلمی‌کرد.
زلال	صافوشفاف،(بهمجاز)آبصافوگوارا،پاک،خالص
زلیخا	نامهمسرعزیزمصرکهمفتونزیبایییوسف(ع)شد.
زمانه	روزگار،چرخ
زمرد	نامسنگیقیمتیبهرنگسبز
زمزم	نامچشمه‌ایدرنزدیکیکعبه
زمزمه	صدایحرفزدنآهسته،صدایآوازخواندنآهسته
زمیرا	بلبل
زنبق	گلیدرشتبهرنگهایبنفش،سفید،یازرد
زوشا	زیبا،نیکو،دلربا،ازریشهاوستاییزوش،نامنیایمنوچهرپادشاهپیشدادی
زوفا	گیاهیپایاومعطرازخانوادهنعناع
زویا	زندگی،زنده،دوستداشتنی
زهرا	روشن،درخشان،نامدخترپیامبر(ص)
زهراناز	درخشندهونازنین،ترکیبیقشنگازنامزهرا
زهره	سیارهزهرهونوس
زهیرا	بهمعنیشکوفه‌دار،درختشکوفه‌دار
زیبالنساء	بهترینزنان،زیباترینزنان،
زیبا	آنکهیاآنچهدیدنشچشمنوازوخوشاینداست،دلنشین،مطبوع
زیبا	آنکهیاآنچهدیدنشچشمنوازوخوشاینداست،دلنشین،مطبوع
زیبادخت	ازنامهایبرگزیده
زیباچهر	آنکهچهره‌ایزیبادارد،زیبا
زیبارخ	آنکهچهره‌ایزیبادارد،زیبا
زیباروی	ازنامهایبرگزیده
زیبان	زیبا،خوشایند
زیبنده	شایسته،سزاوار،زیبا،آراسته
زیتون	ازاسامیقرآنی،نمادصلحوانساندوست
زیتونه	یکدانهزیتون
زینا	نامدخترنوحنبی
زینب	پاکیزگی،نامدرختیخوشبووخوشمنظر
زینت	آذین،آرایش،پیرایه،تزیین،حلیه،زیب،زیور
زیور	آرایش،پیرایه
زیورتاج	آنکهچونزیوروجواهریبرتاجمی‌درخشد.
زیوین	نقره‌ای،نقرهگون

ژاسمی	یاسمنبرگشتبهلیست
ژاسمین	یاسمن
ژاکلین	کنتسهنوتوهلند
ژالانه	گیاهیزیباوخودرو
ژاله	شبنم،قطرهبارانکهرویبرگدرختانمینشیند
ژالین	شعلهآتش
ژامک	اسمباستانیبهمعنایآینه
ژانت	مونثژان(ژان=یحیی،یوحنا،خداداد)
ژانیا	ازنامهایباستانی
ژانیتا	نامشهریدریوناندرکناردریاچهایبههمیننام
ژانین	نامدریاچه‌ایدریونان
ژانینا	نامشهریدریوناندرکناردریاچه‌ایبههمیننام
ژاوا	جاوهنامقسمتیازاقیانوسهندمیانجزیرهجاوهوسوماتراوبرنئو
ژاوه	نوعیگیاهوحشیازتیرهکاکوتی
ژاییژ	شرارهآتش
ژربرا	گلیزینتیبهشکلمیناولیبسیاردرشتترازآنبهرنگهایصورتیتاسرخ
ژرفا	عمیق،عمیقترینیادورتریننقطهجایی
ژرفی	عمق،ژرفا
ژرفین	عمیق
ژرویرا	ژریرا
ژنیا	ژنیک
ژنیک	بااستعداد،نابغه
ژوان	زمان،میعاد،ملاقات
ژون	بت،صنم
ژیانچهر	ازنامهایبرگزیده
ژیاندخت	ازنامهایبرگزیده
ژیژیس	نامندیمهپروشاتهمسرداریوشپادشاههخامنشی
ژیکان	قطرهیباران(بهمجاز)زلالوشفاف،زیباوآرامشبخش
ژیلا	ژالهتگرگ
ژیلا	ژالهتگرگ
ژینا	باهوش،بانابغه،ژنیک
ژینوس	باهوش،نابغه،ژینا
ژیوار	نامکوهیدراورامان،زندگیکردن

سَرو	ازانواعدرختانکههمیشهسبزاست؛(بهمجاز)شادابوباطراوتبرگشتبهلیست
سَحرناز	(عربیفارسی)زیباییسپیدهدم؛(بهمجاز)زیبا
سَرور	آنکهمورداحتراماستونسبتبهدیگرییادیگرانسِمَتبزرگیدارد؛فرمانده،رئیس،بزرگ
سَروناز	سرونورسته،سرویکهشاخههایآنبههرطرفمایلباشد؛نامنواییدرموسیقیایرانی
سَروین	شبیهسَرو؛(درکردی)روسریوچارقد
سَریر	زیبا،تختپادشاهی
سَلین	سیلمانند؛نامرودخانه‌ایدرآذربایجان
سَلینا	منسوببهسَلین
سَما	آسمان
سَهی	صفتسرو
سُرنا	نوعیسازبادی
سُرنا	بهضمسینوسکون
سُلدا	حامی،یاور
سُها	ستارهیکمنوریدرکنارستارهیعناقدرصورتفلکیدُباکبر
سِتیا	گیتی،دنیاوروزگار
سابرینا	مژده،بشارت
سابو	هاله،خرمنماه
ساتی	درمصرباستان،نامفرشتهنگهبانارواح
ساتیا	ازنامهایباستانی
ساتین	محبوبودوستداشتنی
ساجده	دخترسجدهکننده(عبادتکنندهخدا)
سارگل	گلزرد
سارنگ	نامپرنده‌هایکوچکبهرنگسیاه،سار،ساری؛گوشهایدرآوازابوعطا؛نامسازیمثلکمانچه
سارنیا	خالص،پاک،منزه،بانویبیریا،دخترپاکدامن
ساریان	نامروستاییدرنزدیکیمشهد
سارینا	خالص،پاک
ساعده	دخترمددیار،یاریکننده
ساغر	ظرفیکهدرآنشرابمینوشند،جامشراب؛دلعارفاستکهانوارغیبیدرآنمشاهدهمیشود.
سالمه	بدونعیب،درکمالسلامت
سالی	بیغموسرخوش،سالمندودارایعمرطولانی،نامروستاییحوالیخرمآباد
سالینا	سال+ین(پسوندنسبت)+ا(پسوندنسبت)،منسوببهسال
سامره	نامشهریدرعراقکهمرقدامامدهمویازدهمدرآنواقعشدهاست
سامه	عهد،پیمان،جایامنوامان،پناه،مأمن
سامیرا	سمیرا،زنبزرگوار،نامعمهشیریندرداستانخسرووشیرینترجمهعربیمهینبانواست
سامینا	مانندمینا؛نامگلی
سامیه	یعنیبانویبلندمرتبهوازالقابحضرتزینب
ساناز	نامگلی؛کمیاب،نادره
سانای	بیقرار
سانلی	معروف،مشهور
سانوا	دخترخوشسخن،بانوییکهشیرینحرفمی‌زند.
سانیا	سایهروشنِجنگل
ساوی	باارزش،گرانمایه
ساویز	خوشخلقونیکخو
ساویس	باارزش،گرانمایه
ساهره	چشمهروان
سایا	یکرنگ،بیریا
سایان	منسوببهسایه،نامرشتهکوهیدرآسیایمرکزی
ساینا	سیمرغ،عنقا
سایه	تاریکینسبی،پناه،حمایت؛حشمتوبزرگی.
سبا	سوره34قرآنکریم،شهریدریمنکهبلقیسملکهآنجابوده،درعبریبهمعنیانسان
سبارو	کبوتر
سبزبهار	نامیکیازالحانقدیمایرانی
سبزپری	فصلبهار
سبزه	سبزهوار،چمنزار،گندمگون
سپتا	خوب،خوبی
سپیتا	سفیدترینوپاکترین
سپیدار	درختیازخانوادهبیدبابرگهاییبراق
سپیده	نوراولصبح،سفیدروی
سپیدهگل	گلسپید
سپینود	درشاهنامهدخترپادشاههند(شنگل)وزنبهرامگور
ستاره	؛بختواقبالونمادشخصمجلسآراوزیبارو
ستاک	شاخهتازهرستهونازک
ستایش	ستودن،تعریف
ستایش	حمدوسپاسخداوند،شکرگزاری(بهدرگاهخداوند)؛تعریفوتمجید
ستوده	آنکهاوراستوده‌اند؛ستایششده
ستیا	جهان،هستی،دنیا،روزگار-بانوینجیبوبلندمرتبه–لقبحضرتمعصومه
ستیلا	نامدخترامامموسیکاظمولقبحضرتمریم
سداب	نامگیاهیاست
سدنا	سجدهکنندهبرخانهخدا
سرآویز	آنچهبهسرمی‌آویزند
سرمه	(بهمجاز)سیاهی،تاریکی
سرور	شادمانی
سروناز	زنزیبا،درختسروناز
سروین	شبیهسرو،مانندسرو
سلاله	نسل،ازالقابحضرتزهرا
سلوا(سلوی)	نوعیپرنده(بلدرچین)درقرآنکهدربهشتهمهست
سلین	نامرودخانهایدرآذربایجانکهازقرهداغسرچشمهمیگیرد
سمن	رازقی،یاسمن
سمن	یاسمن
سنا	روشنایی
سودابه	یکیازشخصیتهایشاهنامه
سوره	سورهقرآن
سوری	رزقرمز
سوزان	شعلهور،درحالسوختن،سوزاننده
سوسن	نامگلی
سوفیا	اسمیباریشهیونانیبهمعنایخرد
سوگل	موردعلاقهومحبتزیاد،محبوب
سوگند	قسمخوردن
سونیا	(سو=نور+نیا)نورِنیاکان،(دریونانی)خردوعقل،دخترنور
سویل	(تلفظ
سوین	(ترکی)شادباش–عشق،محبت،علاقهشدید
سیگل	سیعددگل
سیتا	جهان،گیتی
سیما	صورت،رخ
سیمبر	دارندهاندامسفیدوزیبا
سیمروی	سپیدروی
سیمگون	نقرهفام
سیمیا	بلاغت،فصاحت
سیمین	نقرهفام،سفید
سیمینچهر	سپیدروی
سیمیندخت	دخترسپیدباصفتهایدرخشان
سینره	گیاهیزینتیونیزدارویی،پامچالفر
شِیدا	عاشق،دلداده؛آشفتهوپریشانبرگشتبهلیست
شاپرک	نوعیپروانهبزرگکهمعمولاًشبپروازمیکند.
شاپری	شاهپری
شاخسار	محلانبوهیشاخههایدرخت
شادآفرید	ازنامهایبرگزیده
شادان	شاد،مسرور؛(درحالتقیدی)باحالشاد،شادمانه
شادانه	شاهدانه
شادآفرید	آنکهشادآفریدهشد،آفریدهشاد
شادبانو	ازنامهایبرگزیده
شادبهر	آنکهازشادیبهرهدارد،خوشحال
شادپری	ازنامهایبرگزیده
شاددخت	دخترشاد
شاددل	ازنامهایبرگزیده
شادرخ	آنکهچهرهایشادومتبسمدارد.
شادرو	آنکهرویوچهرهاششاداست،شاداب،شادمانومسرور
شادروز	نیکروز،خوشبخت،کسیکهروزششاداست.
شادروی	ازنامهایبرگزیده
شادفر	آنکهدارایشکوهوشادیاست.
شادک	ناممستعارسمکدرداستانسمکعیار
شادکام	شادمان،کامران،کامروا
شادکامه	کامروا،خوشحال،شادمان
شادگل	آنکهچونگلشاداباست.
شادگون	شادوخوشحال
شادلی	شادروینرمخووآرام
شادلین	نرمیوملایمت،آراموخوشچهره
شادمان	خوش،مسرور
شادمانه	شادمان،شاد،خوشحالومسرور،باشادیوخوشحالی
شادمهر	ازنامهایبرگزیده
شادناز	ویژگیآنکهشاداستوباعشوهونازاست.
شادنوش	شادیوشادمانیهمیشگیوجاوید
شادور	شادمان،خوشحال
شادی	وضعوحالتشاد،شادبودن،خوشحالی،سرور؛جشن
شادیافزا	افزایندهشادیونشاط
شادیآور	ازنامهایبرگزیده
شادیا	بانویشاد،دخترشادوسرخش،منسوببهشادی
شادیان	ازرویشادی،براساسشادی،آهنگونوایشادیآور
شادیانه	ازرویشادی،براساسشادی،آهنگونوایشادیآور
شادیه	منسوببهشادی
شارونا	سرزمینپرباروحاصلخیز
شارین	متمدن،شهرنشین،مرکبازشاربهمعنایشهر+ین(پسوندنسبت)،نامدهیدرقزوین
شانا	بادملایم
شاندیز	شکوهمندودارایعظمتوجلال،شاهاندژ،نامروستاییدرنزدیکیمشهد
شاهدخت	شاهدختر،دخترشاه
شاهرو	ازنامهایبرگزیده
شایا	شایان
شایسته	باارزش،سزاوار
شایلی	بیهمتا
شایلین	اسمیترکیبهمعنیبیهمتا
شاینا	شاهدانه
شببو	گلیمعطروزینتیدررنگهایمختلفباساقهیبلند
شبپره	پروانه،خفاش
شبدیس	مانندشب
شبنم	ازاسامیدخترانهقطرهایکهشباهنگامرویبرگگلمینشیند
شبنم	رطوبتهواکهمخصوصاًهنگامشب
شراره	ازنامهایرایجامروزی
شرمین	ازنامهایبرگزیده
شروین	نامقلعهیشروان
شکرانه	شکرگزاری
شکربانو	ازنامهایبرگزیده
شکرناز	ازنامهایبرگزیده
شکفته	ازنامهایبرگزیده
شکوفا	شکفتهشده
شکوفه	گلدرخشانمیوهدار
شکوفه	گل‌هایرنگارنگمیوه
شکوه	بلندجایگاه،باعظمت
شکیبا	ازاسامیدخترانهبهمعنیصبور،بردبار،باشکیبایی
شگون	خجستگی،باشانس
شمسا	دختریکهمانندخورشیداست،درخشانوپرتوافشان
شمیس	خورشیدکوچک
شمیلا	نسیموبادشمال
شمیم	ازاسامیدخترانهبهمعنیبویخوش
شنایا	همهچیزدان
شوانه	گلهبان،چوپان
شورانگیز	ازنامهایبرگزیده
شوکا	نوعیگوزنبومیاروپاوآسیا؛درمازندرانیبهآهووغزال
شهربانو	نامزنرستم
شهرخ	ازنامهایبرگزیده
شهردخت	ازنامهایبرگزیده
شهرزاد	نامدختریزیبادرقصههزارویکشب
شهرزاد	ازنامهایبرگزیده
شهرناز	نامخواهرجمشید
شهرنواز	خواهرشاهجمشیدپیشدادی
شهرو	ناممادربرزویهپزشک
شهرود	نامزنسهرابومادریرزو
شهگل	بهترینگل،گلِشاهانه
شهلا	ازنامهایبرگزیده
شهناز	ازنامهایبرگزیده
شهنواز	ازنامهایبرگزیده
شهین	ازنامهایبرگزیده
شهینبانو	ازنامهایبرگزیده
شیدا	شیفته
شیدبانو	ازنامهایبرگزیده
شیددخت	ازنامهایبرگزیده
شیدرخ	ازنامهایبرگزیده
شیده	روشنایی،خورشید
شیرین	مزهشادکامی
شیرینگل	ازنامهایبرگزیده
شیفته	عاشق،مجنون
شیلا	نامنهریدرسیستانوبلوچستان،ازنامهایمتداولهندی
شیما	زنیکهرویچانهاشخالدارد،زنزیبایعرب،نامدخترحلیمهسعدیهدایهپیامبر(ص)
شیوا	رسا،فصیح،بلندوکشیده

صَبا	پیامرسانمیانعاشقومعشوقبرگشتبهلیست
صُراحی	ظرفشراب،ظرفشیشهایشراب؛شرابزلال؛درتصوفمقامانسراگویند.
صالحه	دختروزننیکوکار
صبرا	بردباریکردندربرابرسختیهاوناملایمتها،شکیبایی
صبورا	صبور+ا(الفنسبتیاتعظیم)،بهمعنیبردبار،صبور
صحرا	بیابان؛محلیخارجازمنطقهمسکونی،کهدارایپوششگیاهیاست.
صدف	ازاسامیدخترانه،نامسهستارهبهشکلمثلث
صنم	بتزیبا
صنوبر	نامدرختیهمیشهسبز
صوفیا	منسوببهصوفینواییدرموسیقی
صونا	دوریازگناه،خویشتنداریازگناه
صهبا	شرابانگوری.شرابیکهمایلبهسرخیباشد
ضحی	سپیدهصبح،درقرآنبهشقسمخوردهشده
طَراوت	تروتازگی؛(بهمجاز)سامانورونقبرگشتبهلیست
طُلوع	دمیدنوبرآمدنِخورشیدومانندآن؛ابتدایروز
طاهره	طاهر،زنپاکومبراازعیب،لقبفاطمهزهرا(ع)ولقبخدیجههمسرپیامبر(ص)
طرفه	شگفتآور،جالب،عجیب
طناز	ازاسامیدخترانهبسیارزیبا،دلنشینوفریبنده
طنان	پرطنین،بلندآوازه،مشهور
طنین	انعکاسصوت،پژواک؛حالتیازصداکهدارایتأثیرونفوذباشد؛خوشآهنگی
طهورا	پاکیزه،پاککننده،ازاسامیقرآنی(شراباطهورا)
طیلا	شرابیکهازجوشاندنفشردهانگور،مویز،یاخرمابهدستمی‌آید.
عادله	مؤنثعادل،بانویباانصاف
عارفه	زنعالموعارف
عرفانه	عرفان(عربی)+ه(فارسی)مرکبازعرفان(معرفت)+ه(پسوندنسبت)
عسل	مایعیخوراکیکهزنبورعسلمیسازد،بسیارشیرینودوستداشتنی
عطرین	منسوببهعطر،دلانگیز،معطر،خوشبو
عطیه	انعام،بخشش
غَزل	نوعیشعر،شعرعاشقانه
غدیره	گیسویبافتهشده،مونثشدهکلمه(غدیر)
غزال	نوعیآهویظریفانداموبسیارتندروباچشماندرشتسیاه
غزاله	نوعیآهو
غزلناز	غزل(عربی)+ناز(فارسی)مرکبازغزل(شعرعاشقانه)+ناز(زیبا)
غنچه	گلیکهشکفتهنشده
غنچه	گلنیمهباز
غوغا	صدایبلند،بانگوفریاد

فاتن	فتنهانگیز،آنکهآشوببپامی‌کندبرگشتبهلیست
فاتیما	فاطیما،نامشهریاستدراروپاکهحضرتفاطمهدرآنجاظهورکردهاست
فارا	نامکوهیاستکهدرغربفلاتایرانواقعشدهاست.
فارهه	دخترزیباوبانمک
فاسیروس	نامدختراردشیردرازدستپادشاههخامنشی
فاطمه	نامدخترپیامبر(ص)،زنیکهبچهخودراازشیرگرفتهباشد
فامگل	بهرنگگل
فانیذ	قندوشکر
فانیذ	پانیذ،قند،شکر
فایدیم	بهمعنایگلنیلوفراست،نامهمسرکبوجیهپادشاههخامنشی
فائزه	نائل،رستگار،ازاسامیقرآنی
فائقه	پیروزشده
